"rationale_id","rationale_text","human_access_barriers","human_collective_responsibility","human_coercive_backlash","human_autonomy_infringement","human_procedural_legitimacy"
"R116","The requirement for two separate, in-person visits with long wait times presents a significant barrier for a person who cannot easily take time off work and has a young child. The hassle of gathering documents and completing extensive paperwork further decreases motivation, especially given her medium trust in public health authorities. The substantial logistical hurdles make it highly unlikely she would proceed.","","","","",""
"R000","The in-person registration process with a long wait time creates a significant logistical barrier for a parent with a 3-year-old child. The requirement to gather documents and make a separate trip just to register, combined with her only medium trust in public health, makes her unlikely to follow through. Her flexible work hours are not enough to overcome these substantial hurdles.","","","","",""
"R043","The significant time commitment for in-person registration, including a 1-2 hour wait, presents a major logistical challenge for a person with a young child and a low income. The bureaucratic hurdles of gathering documents and completing multiple forms further increase the burden. These substantial barriers are likely to overwhelm her medium trust and the limited flexibility of her part-time work.","","","","",""
"R194","The registration process is extremely burdensome, requiring an in-person visit with a long wait time, which is a major obstacle for someone who works full-time and cannot easily get time off. The need to arrange childcare and gather specific documents adds further significant barriers. Her medium trust in public health authorities is not strong enough to overcome these substantial logistical hurdles.","","","","",""
"R009","The required in-person registration, long wait times, and extensive paperwork create significant logistical barriers for a person who cannot easily take time off from her full-time job. The need to also arrange childcare for her 3-year-old for multiple trips makes the process prohibitively difficult. Her medium trust in public health authorities is unlikely to provide enough motivation to overcome these substantial hurdles.","","","","",""
"R184","The registration process creates significant logistical barriers, requiring two separate trips with long waits and extensive paperwork. For a person with a low income and a young child, arranging the necessary time, transportation, and childcare for this cumbersome process is a major challenge. While her flexible schedule helps, the high effort required combined with her medium trust makes it very unlikely she will proceed.","","","","",""
"R192","The required in-person registration, extensive paperwork, and long wait time create a significant logistical burden. This barrier is amplified by the need to arrange care for her young child for a multi-trip process. Her flexible schedule is a positive factor, but it may not be enough to overcome the high degree of hassle, especially given her medium trust in public health authorities.","","","","",""
"R115","The multiple barriers create significant friction: the far clinic location, in-person registration requiring 1-2 hours wait, income and residency documentation, paper forms, and advance scheduling all compound for a self-employed mother with a young child. While she controls her schedule, the time burden and logistical complexity—especially without nearby healthcare—likely outweigh her medium trust in public health authorities.","","","","",""
"R087","Despite schedule flexibility from self-employment, the multiple barriers create significant friction: far clinic, in-person registration with paperwork, income verification, 1-2 hour wait, and week-ahead scheduling for a parent of a young child. Her medium trust in public health provides some motivation but is insufficient to overcome these substantial logistical burdens.","","","","",""
"R064","The in-person registration with 1-2 hour waits, extensive paperwork, and far-travel requirements create significant barriers for a low-income self-employed parent who loses billable hours and must arrange childcare. While her medium trust in public health and flexible schedule help somewhat, the logistical and financial burdens likely outweigh her motivation to vaccinate.","","","","",""
"R060","The multiple barriers—required in-person registration during work hours without easy time off, need to gather documentation she may not have readily available, long wait times with a young child, and no regular healthcare provider to guide her—create significant practical obstacles for someone with limited income and inflexible employment. Her medium trust in public health authorities alone is insufficient to overcome these structural barriers, resulting in low willingness despite not being opposed to vaccination itself.","","","","",""
"R196","The in-person registration with 1-2 hour waits, paper forms, and documentation requirements create significant barriers for a self-employed mother with a young child, despite her flexible schedule. Her medium trust in public health authorities and low income (making income verification potentially burdensome) further reduce likelihood, though her regular doctor access and easy appointment availability suggest some healthcare engagement.","","","","",""
"R003","Medium trust in public health authorities provides some motivation, but the scenario presents significant barriers: in-person registration requiring 1-2 hour wait, paper forms, advance scheduling, and documentation requirements. These create logistical challenges for a working parent with a young child, despite her flexible hours and easy access to her regular doctor. The suburban location may mean travel to a public health center, adding time burden. The combination of bureaucratic complexity and childcare responsibilities likely creates meaningful hesitation, offsetting her moderate institutional trust.","","","","",""
"R052","While she has flexible schedule control and easy access to a regular doctor, the burdensome in-person registration with income verification, residency proof, multiple paper forms, 1-2 hour wait, and week-ahead scheduling creates significant friction. Her medium trust in public health authorities doesn't overcome these logistical barriers for someone with her income and established healthcare access, making her likely to find alternatives or delay.","","","","",""
"R079","The in-person registration with 1-2 hour waits, extensive paperwork, and far-travel requirements create significant logistical barriers for a part-time working mother with a young child, despite her flexible hours. Her medium trust in public health authorities provides some motivation, but the burdensome process—especially income verification and advance scheduling—likely discourages completion. Her suburban location and distant clinic compound the access challenges.","","","","",""
"R081","While she has a regular doctor and flexible part-time hours that could accommodate the in-person registration and waiting time, the multi-step bureaucratic process requiring income verification, paper forms, and advance scheduling creates significant friction. Her medium trust in public health authorities means she won't be highly motivated to overcome these barriers, and as a busy working mother of a young child, the 1-2 hour wait plus multiple trips is burdensome despite her suburban location and decent income.","","","","",""
"R103","The in-person registration with 1-2 hour wait, paper forms, and advance scheduling creates significant barriers for this working mother with no paid time off and a young child. Her lack of regular healthcare and medium trust in public health authorities further reduce motivation to overcome these logistical hurdles.","","","","",""
"R090","The in-person registration with 1-2 hour waits, paper forms, and advance scheduling creates significant barriers for someone with inflexible full-time work and a young child. While she has medium trust in public health and regular healthcare access, the logistical complexity and time demands likely outweigh her moderate motivation, especially without strong institutional trust to drive persistence through bureaucratic hurdles.","","","","",""
"R069","The in-person registration with extensive paperwork, long wait times, and advance scheduling creates significant barriers for a self-employed mother with a young child, despite her flexible schedule. The far distance to her regular doctor suggests geographic inconvenience is already a factor, and the added burden of income verification and residency proof for a suburban resident with moderate trust in public health further reduces willingness. The multi-step process with 1-2 hour waits is particularly challenging for someone managing childcare responsibilities.","","","","",""
"R155","While she has a regular doctor and medium trust in public health authorities, the multi-step in-person registration with paperwork, income verification, long wait times, and advance scheduling creates significant barriers for a working parent with a young child. Her part-time flexible hours help somewhat, but the complexity and time burden—especially needing to arrange childcare—substantially reduces her likelihood of completing the process.","","","","",""
"R040","She has a regular doctor and medium trust in public health authorities, indicating some inclination towards vaccination, but the cumbersome registration process, need to take time off work, and waiting time may deter her, especially with a young child to care for.","","","","",""
"R038","She is moderately trusting of public health authorities, but the inconvenience of the registration process, including the need to travel to a distant location and wait in line, may deter her. Her self-employment and control over her schedule may help her find time for the appointment, but the hassle of the process may still outweigh her motivation to get vaccinated.","","","","",""
"R162","Despite having control over her schedule, the requirement to register in person at a distant location, combined with the need to bring specific documents and wait for an extended period, may deter her due to the inconvenience and time commitment, especially considering her medium trust in public health authorities and her responsibilities as a single parent.","","","","",""
"R017","She is moderately willing to get vaccinated, but the inconvenience of the registration process, including the need to travel to a distant clinic and wait for a long time, may deter her. Her medium trust in public health authorities and the lack of flexibility in the registration process may also contribute to her hesitation.","","","","",""
"R143","The person has a medium trust in public health authorities and has a regular doctor, but the registration process is inconvenient and time-consuming, which might deter her from getting vaccinated. However, her self-employment and control over her schedule might make it easier for her to find time to register and get vaccinated. Overall, her willingness to get vaccinated is moderate.","","","","",""
"R107","The person's willingness to get vaccinated is relatively low due to the inconvenience and time required for registration, which may be challenging for her given her work schedule and the need to care for her child. Additionally, the distance to the clinic and the wait time may also deter her.","","","","",""
"R018","She has a medium trust in public health authorities and a relatively stable life situation, which might motivate her to get vaccinated. However, the requirement to register in person with a long waiting time and the need to bring additional documents might deter her, especially considering her part-time work and childcare responsibilities.","","","","",""
"R010","The person's medium trust in public health authorities and lack of a regular doctor or health clinic may contribute to some hesitation. However, the need to protect herself and her child from COVID-19 may still motivate her to get vaccinated. The inconvenience of the registration process, including the need to take time off work and wait in person, may deter her somewhat, but she may still be willing to go through with it due to the perceived importance of getting vaccinated.","","","","",""
"R004","She is moderately willing to get vaccinated due to the inconvenience of the registration process, which requires a lot of paperwork and a long waiting time. However, her medium trust in public health authorities and the fact that she has a young child might motivate her to get vaccinated despite the hassle.","","","","",""
"R075","She is moderately willing to get vaccinated, but the registration process is time-consuming and requires advance planning, which may be challenging given her work schedule and lack of a regular doctor or health clinic. Her medium trust in public health authorities also contributes to her moderate willingness.","","","","",""
"R071","She is moderately willing to get vaccinated due to her medium trust in public health authorities and the convenience of having a regular doctor. However, the hassle of registering in person, bringing required documents, and waiting for a long time may deter her, especially given her busy schedule with a young child and a job that doesn't allow time off easily.","","","","",""
"R118","Despite having a regular doctor and ease of getting appointments, the requirement to register in person with paperwork and wait for at least a week may deter her due to her busy schedule as a self-employed individual and caregiver to a 3-year-old, but her medium trust in public health authorities and the relative ease of accessing her doctor may still motivate her to follow through.","","","","",""
"R144","She has a medium trust in public health authorities and a regular doctor, which suggests some level of comfort with the healthcare system. However, the in-person registration process with a long waiting time and advance scheduling may deter her, especially with a young child to care for. Her part-time job with flexible hours may help her find time for the appointment, but the hassle of the registration process may still be a significant barrier.","","","","",""
"R001","The person's limited time due to work constraints and the need to schedule an appointment one week in advance may make it difficult for her to comply with the registration process. Additionally, the requirement to bring income verification and proof of residency may be a barrier for someone with a low household income. The lack of a regular doctor or health clinic may also make the process more complicated.","","","","",""
"R160","The person's low income and limited access to resources may make it difficult for her to take time off work or travel to the public health center, and the lengthy registration process and waiting time may be a significant barrier. Additionally, the need to bring income verification and proof of residency may be a challenge for someone with a low income. Her medium trust in public health authorities may not be enough to overcome these practical barriers.","","","","",""
"R039","The person's low income and limited access to transportation may make it difficult for her to take time off to visit the public health center, and the lengthy registration process may be a barrier to vaccination.","","","","",""
"R167","The person's low income and limited time due to her job make it difficult for her to take time off for the registration process, which is already complicated by the need to bring documentation and complete paper forms. The long waiting time and advance scheduling requirement also pose significant barriers. Her medium trust in public health authorities may not be enough to overcome these practical challenges.","","","","",""
"R195","The person's low income and lack of a regular doctor make accessing healthcare more difficult, and the time-consuming registration process and long waiting times may deter her. Her medium trust in public health authorities may also contribute to her reluctance.","","","","",""
"R178","The person's self-employment and lack of regular doctor or health clinic may make it difficult to take time off for the registration process, and the required documentation and advance scheduling may be a barrier. The medium trust in public health authorities may also contribute to hesitation. The inconvenience of the process may outweigh the benefits of vaccination.","","","","",""
"R128","The person's medium trust in public health authorities and the need to vaccinate her child may motivate her to get vaccinated, but the inconvenience of the registration process, including the time commitment and paperwork, is likely to deter her. The distance to the clinic and the need to schedule an appointment in advance may also be barriers. Overall, she may be willing to make some effort to get vaccinated, but the process seems too cumbersome.","","","","",""
"R011","The person's medium trust in public health authorities and the need to register in person and provide documentation may deter her from proceeding with vaccination. The inconvenience of the process, including waiting times and advance scheduling, may also reduce her willingness to get vaccinated.","","","","",""
"R088","The person's low income and limited access to resources may make it difficult for her to take time off work to visit the public health center, and the lengthy registration process and waiting time may be a significant barrier. Additionally, the need to bring documentation and schedule an appointment in advance may also be a challenge for someone with a busy schedule as a self-employed individual. Her medium trust in public health authorities may not be enough to overcome these practical barriers.","","","","",""
"R142","The person's self-employment and control over her schedule may make it difficult for her to take time off to visit the public health center, and the lengthy registration process and waiting time may be a significant barrier. Additionally, the requirement to bring income verification and proof of residency may be inconvenient. Her medium trust in public health authorities may not be enough to motivate her to go through this process.","","","","",""
"R016","The person's low income and limited time due to her job make it difficult for her to take time off for the registration process, which involves a lengthy wait and advance scheduling. Additionally, the need to bring income verification and proof of residency may be a burden for someone with a low income. Her medium trust in public health authorities does not outweigh these practical barriers.","","","","",""
"R095","The person's medium trust in public health authorities and the presence of a regular doctor suggest she is open to vaccination, but the inconvenience of in-person registration, paperwork, and long waiting times may deter her. The need to take time off work and bring documentation may also be a barrier. Overall, she is somewhat willing to proceed with vaccination, but the process may be a significant obstacle.","","","","",""
"R119","The person's low income and lack of regular access to healthcare may make it difficult for her to take time off work or travel to the public health center, and the lengthy registration process and waiting time may be a significant barrier. Additionally, the need to bring documentation and schedule an appointment in advance may be a burden for someone with a busy schedule as a self-employed individual. Her medium trust in public health authorities may not be enough to overcome these practical barriers.","","","","",""
"R135","Medium trust in public health authorities and logistical barriers (time, paperwork, and in-person requirements) may reduce willingness, but access to a regular doctor and schedule flexibility slightly offset this.","","","","",""
"R086","Medium trust in public health authorities and logistical barriers (income verification, paper forms, long wait times) reduce willingness, though access to a regular doctor and flexible hours slightly offset this.","","","","",""
"R006","Medium trust in public health authorities and logistical barriers (in-person registration, paperwork, and wait times) may reduce willingness, but ease of scheduling appointments with her doctor and control over her schedule slightly offset this.","","","","",""
"R033","Medium trust in public health authorities and access to a regular doctor suggest some willingness, but the bureaucratic hurdles, time commitment, and documentation requirements may deter her due to her part-time work schedule and childcare responsibilities.","","","","",""
"R111","Medium trust in public health and logistical barriers (distance, paperwork, long wait) reduce willingness, but self-employment flexibility and having a young child may slightly increase motivation.","","","","",""
"R041","Medium trust in public health authorities and logistical barriers (in-person registration, paperwork, long wait times, and lack of a regular doctor) reduce willingness, though flexible work hours and suburban access slightly mitigate this.","","","","",""
"R076","Medium trust in public health authorities and flexible work hours increase willingness, but the bureaucratic hurdles (in-person registration, paperwork, and long wait times) may deter her, especially with a young child to care for.","","","","",""
"R198","Medium trust in public health and logistical barriers (distance, paperwork, long wait) reduce willingness, but flexible work hours and income stability provide some capacity to navigate the process.","","","","",""
"R177","Medium trust in public health and logistical barriers (time off work, distant clinic, lengthy in-person process) reduce willingness, though financial stability and having a young child may slightly increase motivation.","","","","",""
"R023","Medium trust in public health and logistical barriers (distance, paperwork, long wait) reduce willingness, but the need to protect her child and flexible work hours slightly offset these challenges.","","","","",""
"R061","Medium trust in public health and ease of doctor access suggest some willingness, but the bureaucratic hurdles, time commitment, and income verification may deter her due to logistical challenges and low income.","","","","",""
"R145","Medium trust in public health authorities and ease of doctor access suggest moderate baseline willingness, but the burdensome registration process (income verification, long wait, advance scheduling) may deter her due to time constraints and logistical challenges.","","","","",""
"R151","Medium trust in public health authorities and logistical barriers (in-person registration, paperwork, long wait times) reduce willingness, though schedule flexibility and income may slightly offset inconvenience.","","","","",""
"R129","Her willingness is moderately low because the requirement to gather specific documents, fill out multiple paper forms, and wait 1-2 hours in person creates significant logistical friction, especially while caring for a 3-year-old. However, her somewhat flexible work hours and medium trust in public health authorities prevent her willingness from being extremely low, as she can accommodate the one-week advance scheduling.","","","","",""
"R044","Although her self-employment provides schedule flexibility, the requirement to register in-person with extensive paperwork and endure a 1-2 hour wait creates significant friction, especially while managing a 3-year-old child. Combined with her medium trust in public health authorities, these bureaucratic and logistical barriers will likely deter her from proceeding.","","","","",""
"R154","The high administrative friction, including in-person registration, document gathering, and a 1-2 hour wait, creates a significant logistical burden for a part-time working mother with a young child. Although her flexible hours and medium trust in public health offer some baseline motivation, these substantial time and effort requirements will likely deter her from completing the process.","","","","",""
"R159","The requirement for in-person registration, extensive paperwork, and a 1-2 hour wait time creates significant logistical friction. Combined with her inability to easily take time off work and the responsibility of caring for a young child, these high barriers will strongly deter her, especially given her only medium trust in public health authorities.","","","","",""
"R161","Despite her flexible work schedule, the high administrative burden of gathering income verification and completing paper forms in person is a significant deterrent. Furthermore, waiting 1-2 hours at a public health center with a 3-year-old child creates a major childcare challenge, which, combined with her medium trust in authorities, lowers her likelihood of proceeding.","","","","",""
"R050","The requirement to gather income verification and complete extensive paperwork presents a significant bureaucratic hurdle. Furthermore, the 1-2 hour in-person wait time combined with the logistical challenge of managing a 3-year-old child creates a major barrier that her medium trust in public health authorities is unlikely to overcome.","","","","",""
"R026","The requirement to register in person, gather specific documents, and wait 1-2 hours creates a high bureaucratic and time burden that is especially difficult to manage with a 3-year-old child. Although her flexible work schedule and medium trust in public health provide some baseline willingness, the cumbersome multi-step process significantly deters her from proceeding.","","","","",""
"R005","Despite her flexible work schedule, the high administrative burden of gathering income verification and completing paper forms in person is a significant deterrent. Furthermore, waiting 1-2 hours at a public health center with a 3-year-old child creates a major childcare challenge, which, combined with her medium trust in authorities, lowers her likelihood of proceeding.","","","","",""
"R191","The in-person registration with a 1-2 hour wait time creates a major barrier because she cannot easily take time off work and must manage care for her 3-year-old child. Combined with her medium trust in public health and accustomed ease of seeing her regular doctor, this highly inconvenient process significantly deters her willingness to proceed.","","","","",""
"R085","The high-friction requirements of in-person registration, document gathering, and a 1-2 hour wait present a significant time burden, especially for a mother managing a 3-year-old child. Additionally, her accustomed ease of access to healthcare via a regular doctor and her medium trust in public health make her less likely to tolerate these substantial administrative hurdles.","","","","",""
"R137","The requirement for in-person registration, extensive paperwork, and a 1-2 hour wait time creates significant logistical friction. Combined with her inability to easily take time off work and the responsibility of caring for a young child, these high barriers will strongly deter her, especially given her only medium trust in public health authorities.","","","","",""
"R183","Although her flexible schedule allows her to accommodate the time required, navigating a 1-2 hour in-person wait with a 3-year-old child and gathering specific documents creates significant friction. Furthermore, because she already has easy access to a regular doctor, she has a much more convenient alternative, reducing her motivation to use this cumbersome public health route.","","","","",""
"R034","The in-person registration, 1-2 hour wait time, and extensive paperwork create a high logistical burden that is especially difficult for a mother of a 3-year-old. Given her medium trust in public health authorities, these significant administrative and time hurdles will likely deter her from completing the process.","","","","",""
"R112","The person faces moderate barriers: flexible work hours help with scheduling, but lack of regular healthcare provider, medium trust in authorities, and substantial administrative friction (in-person registration, multiple forms, documentation requirements, 1-2 hour wait) create meaningful obstacles. Her household income supports the logistics, but the time investment and bureaucratic complexity without established healthcare relationships likely reduce follow-through.","","","","",""
"R049","The person's busy work schedule and lack of time off make it difficult to visit the public health center, and the 1-2 hour waiting time is a significant barrier. The requirement to register in person and bring documentation also adds to the inconvenience. Her medium trust in public health authorities may not be enough to motivate her to go through this process.","","","","",""
"R146","The person's low willingness to proceed with vaccination is due to the inconvenient registration process, which requires in-person registration, income verification, and proof of residency, and involves completing several paper forms. The estimated waiting time of 1-2 hours and the need to schedule an appointment at least one week in advance also make it difficult for the person to fit the process into her schedule. Additionally, the person's medium trust in public health authorities may also contribute to her reluctance to proceed with vaccination.","","","","",""
"R062","Multiple significant barriers reduce willingness: the requirement to take time off work (difficult given her job constraints), lack of established healthcare relationship, need to gather documentation (income verification and proof of residency), administrative burden of paper forms, and 1-2 hour waiting time. While medium trust in authorities provides some motivation, the practical obstacles and time commitment are substantial for someone with limited income flexibility and a young child to care for.","","","","",""
"R056","The in-person registration with multiple documents and lengthy wait times creates a significant inconvenience for a self-employed mother with a young child, likely reducing her willingness despite medium trust and easy doctor access.","","","","",""
