model,profile_id,repetition,rationale_high,autonomy_infringement,procedural_legitimacy,collective_responsibility,access_barriers,coercive_backlash
Claude Haiku,P01,2,"While this person's medium trust in authorities provides some motivation, significant structural barriers substantially reduce willingness to vaccinate. The requirement for in-person registration with documentation, combined with her inflexible work schedule, low income (making time off costly), lack of established healthcare provider, and the 1-2 hour waiting time create substantial friction. The need to arrange childcare for a 3-year-old and navigate bureaucratic requirements further compounds these obstacles, making follow-through unlikely despite potential underlying vaccine acceptance.",0,0,0,1,0
Claude Haiku,P01,3,"While this person's medium trust in authorities provides some motivation, significant structural barriers substantially reduce willingness to vaccinate. The requirement for in-person registration with documentation, combined with her inflexible work schedule, low income (making time off costly), lack of established healthcare provider, and the 1-2 hour waiting time create substantial friction. The need to arrange childcare for a 3-year-old and navigate bureaucratic requirements further compounds these obstacles, making follow-through unlikely despite potential underlying vaccine acceptance.",0,0,0,1,0
Claude Haiku,P01,4,"While this person's medium trust in authorities provides some motivation, significant structural barriers substantially reduce willingness to vaccinate. The requirement for in-person registration with documentation, combined with her inflexible work schedule, low income (making time off costly), lack of established healthcare provider, and the 1-2 hour waiting time create substantial friction. The need to arrange childcare for a 3-year-old and navigate bureaucratic requirements further compounds these obstacles, making follow-through unlikely despite potential underlying vaccine acceptance.",0,0,0,1,0
Claude Haiku,P01,5,"While this person's medium trust in authorities provides some motivation, significant structural barriers substantially reduce willingness to vaccinate. The requirement for in-person registration with documentation, combined with her inflexible work schedule, low income (making time off costly), lack of established healthcare provider, and the 1-2 hour waiting time create substantial friction. The need to arrange childcare for a 3-year-old and navigate bureaucratic requirements further compounds these obstacles, making follow-through unlikely despite potential underlying vaccine acceptance.",0,0,0,1,0
Claude Haiku,P02,1,"While this person has a regular doctor and medium trust in authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, long wait times (1-2 hours), difficulty taking time off work, distance to the clinic, and need for advance scheduling create compounding obstacles for someone with limited income and a young child to care for. These logistical challenges typically reduce vaccination uptake more than individual hesitancy factors.",0,0,0,1,0
Claude Haiku,P02,2,"While this person has a regular doctor and medium trust in authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, long wait times (1-2 hours), difficulty taking time off work, distance to the clinic, and need for advance scheduling create compounding obstacles for someone with limited income and a young child to care for. These logistical challenges typically reduce vaccination uptake more than individual hesitancy factors.",0,0,0,1,0
Claude Haiku,P02,3,"While this person has a regular doctor and medium trust in authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, long wait times (1-2 hours), difficulty taking time off work, distance to the clinic, and need for advance scheduling create compounding obstacles for someone with limited income and a young child to care for. These logistical challenges typically reduce vaccination uptake more than individual hesitancy factors.",0,0,0,1,0
Claude Haiku,P02,4,"While this person has a regular doctor and medium trust in authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, long wait times (1-2 hours), difficulty taking time off work, distance to the clinic, and need for advance scheduling create compounding obstacles for someone with limited income and a young child to care for. These logistical challenges typically reduce vaccination uptake more than individual hesitancy factors.",0,0,0,1,0
Claude Haiku,P02,5,"While this person has a regular doctor and medium trust in authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, long wait times (1-2 hours), difficulty taking time off work, distance to the clinic, and need for advance scheduling create compounding obstacles for someone with limited income and a young child to care for. These logistical challenges typically reduce vaccination uptake more than individual hesitancy factors.",0,0,0,1,0
Claude Haiku,P03,1,"While this person has supportive factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers are substantial obstacles. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and advance scheduling conflicts significantly with her constrained work schedule and limited flexibility. Her low household income may also create additional stress around time away from work, making the administrative burden a critical deterrent despite her moderate health authority trust.",0,0,0,1,0
Claude Haiku,P03,2,"While this person has supportive factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers are substantial obstacles. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and advance scheduling conflicts significantly with her constrained work schedule and limited flexibility. Her low household income may also create additional stress around time away from work, making the administrative burden a critical deterrent despite her motivation to protect her child.",0,0,0,1,0
Claude Haiku,P03,3,"While this person has supportive factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers are substantial obstacles. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and advance scheduling conflicts significantly with her constrained work schedule and limited flexibility. Her low household income may also create additional stress around time away from work, making the administrative burden a critical deterrent despite her moderate health authority trust.",0,0,0,1,0
Claude Haiku,P03,4,"While this person has supportive factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers are substantial obstacles. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and advance scheduling conflicts significantly with her constrained work schedule and limited flexibility. Her low household income may also create additional stress around time away from work, making the administrative burden a critical deterrent despite her moderate health authority trust.",0,0,0,1,0
Claude Haiku,P03,5,"While this person has supportive factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers are substantial obstacles. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and advance scheduling conflicts significantly with her constrained work schedule and limited flexibility. Her low household income may also create additional stress around time away from work, making the administrative burden a critical deterrent despite her moderate health authority trust.",0,0,0,1,0
Claude Haiku,P04,1,"While the person's medium trust in authorities and part-time flexible work schedule provide some support for vaccination, significant barriers substantially reduce willingness. The requirement for in-person registration with multiple documents (income verification, proof of residency), lengthy paperwork, 1-2 hour wait times, and lack of a regular healthcare provider create substantial logistical friction. Her low household income ($20,000/year) may create anxiety about documentation requirements, and the absence of an established healthcare relationship reduces familiarity with the process, making the multi-step registration particularly daunting for someone managing childcare responsibilities.",0,0,0,1,0
Claude Haiku,P04,2,"While the person's medium trust in authorities and part-time flexible work schedule provide some support for vaccination, significant barriers substantially reduce willingness. The requirement for in-person registration with multiple documents (income verification, proof of residency), lengthy paperwork, 1-2 hour wait times, and lack of a regular healthcare provider create substantial logistical friction. Her low household income ($20,000/year) may create anxiety about documentation requirements, and the absence of an established healthcare relationship reduces familiarity with the process, making the multi-step registration particularly daunting for someone managing childcare responsibilities.",0,0,0,1,0
Claude Haiku,P04,3,"While the person's medium trust in authorities and part-time flexible work schedule provide some support for vaccination, significant barriers substantially reduce willingness. The requirement for in-person registration with multiple documents (income verification, proof of residency), lengthy paperwork, 1-2 hour wait times, and lack of a regular healthcare provider create substantial logistical friction. Her low household income ($20,000/year) may create anxiety about documentation requirements, and the absence of an established healthcare relationship reduces familiarity with the process, making the multi-step registration particularly daunting for someone managing childcare responsibilities.",0,0,0,1,0
Claude Haiku,P04,4,"While the person's medium trust in authorities and part-time flexible work schedule provide some support for vaccination, significant barriers substantially reduce willingness. The requirement for in-person registration with multiple documents (income verification, proof of residency), lengthy paperwork, 1-2 hour wait times, and lack of a regular healthcare provider create substantial logistical friction. Her low household income ($20,000/year) may create anxiety about documentation requirements, and the absence of an established healthcare relationship reduces familiarity with the process, making the multi-step registration particularly daunting for someone managing childcare responsibilities.",0,0,0,1,0
Claude Haiku,P04,5,"While the person's medium trust in authorities and part-time flexible work schedule provide some support for vaccination, significant barriers substantially reduce willingness. The requirement for in-person registration with multiple documents (income verification, proof of residency), lengthy paperwork, 1-2 hour wait times, and lack of a regular healthcare provider create substantial logistical friction. Her low household income ($20,000/year) may create anxiety about documentation requirements, and the absence of an established healthcare relationship reduces familiarity with the process, making the multi-step registration particularly daunting for someone managing childcare responsibilities.",0,0,0,1,0
Claude Haiku,P05,1,"While the person has medium trust in public health authorities and a regular doctor, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with documentation, lengthy paperwork, 1-2 hour wait times, and a distant clinic location create substantial friction for someone with part-time flexible work, childcare responsibilities, and limited income. These logistical obstacles are particularly burdensome for low-income households where time away from work has financial consequences.",0,0,1,1,0
Claude Haiku,P05,2,"While the person has medium trust in public health authorities and a regular doctor, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with documentation, lengthy paperwork, 1-2 hour wait times, and a distant clinic location create substantial friction for someone with part-time flexible work, childcare responsibilities, and limited income. These logistical obstacles are particularly burdensome for low-income households where time away from work has financial consequences.",0,0,1,1,0
Claude Haiku,P05,3,"While the person has medium trust in public health authorities and a regular doctor, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with documentation, lengthy paperwork, 1-2 hour wait times, and a distant clinic location create substantial friction for someone with part-time flexible work, childcare responsibilities, and limited income. These logistical obstacles are particularly burdensome for low-income households where time away from work has financial consequences.",0,0,1,1,0
Claude Haiku,P05,4,"While the person has medium trust in public health authorities and a regular doctor, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with documentation, lengthy paperwork, 1-2 hour wait times, and a distant clinic location create substantial friction for someone with part-time flexible work, childcare responsibilities, and limited income. These logistical obstacles are particularly burdensome for low-income households where time away from work has financial consequences.",0,0,1,1,0
Claude Haiku,P05,5,"While the person has medium trust in public health authorities and a regular doctor, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with documentation, lengthy paperwork, 1-2 hour wait times, and a distant clinic location create substantial friction for someone with part-time flexible work, childcare responsibilities, and limited income. These logistical obstacles are particularly burdensome for low-income households where time away from work has financial consequences.",0,0,1,1,0
Claude Haiku,P06,1,"While her access to healthcare and medium trust in authorities are positive factors, the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging given her part-time work schedule, low household income (making time away costly), and childcare responsibilities. These logistical obstacles are known to disproportionately affect people with her socioeconomic profile.",0,0,0,1,0
Claude Haiku,P06,2,"While her access to healthcare and medium trust in authorities are positive factors, the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging given her part-time work schedule, low household income (making time away costly), and childcare responsibilities. These logistical obstacles are known to disproportionately affect people with her socioeconomic profile.",0,0,0,1,0
Claude Haiku,P06,3,"While her access to healthcare and medium trust in authorities are positive factors, the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging given her part-time work schedule, low household income (making time away costly), and childcare responsibilities. These logistical obstacles are known to disproportionately affect people with her socioeconomic profile.",0,0,0,1,0
Claude Haiku,P06,4,"While her access to healthcare and medium trust in authorities are positive factors, the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging given her part-time work schedule, low household income (making time away costly), and childcare responsibilities. These logistical obstacles are known to disproportionately affect people with her socioeconomic profile.",0,0,0,1,0
Claude Haiku,P06,5,"While her access to healthcare and medium trust in authorities are positive factors, the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging given her part-time work schedule, low household income (making time away costly), and childcare responsibilities. These logistical obstacles are known to disproportionately affect people with her socioeconomic profile.",0,0,0,1,0
Claude Haiku,P07,1,"While the person's self-employment provides scheduling flexibility, multiple structural barriers significantly reduce willingness: the requirement for in-person registration with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is costly for a self-employed individual with childcare responsibilities; lack of a regular healthcare provider suggests lower healthcare engagement; and medium trust in authorities provides insufficient motivation to overcome these obstacles. The low household income may also create anxiety around documentation requirements.",0,0,0,1,0
Claude Haiku,P07,2,"While the person's self-employment provides scheduling flexibility, multiple structural barriers significantly reduce willingness: the requirement for in-person registration with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is costly for a self-employed individual with childcare responsibilities; lack of a regular healthcare provider suggests lower healthcare engagement; and medium trust in authorities provides insufficient motivation to overcome these obstacles. The low household income may also create anxiety around documentation requirements.",0,0,0,1,0
Claude Haiku,P07,3,"While the person's self-employment provides scheduling flexibility, multiple structural barriers significantly reduce willingness: the requirement for in-person registration with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is costly for a self-employed individual with childcare responsibilities; lack of a regular healthcare provider suggests lower healthcare engagement; and medium trust in authorities provides insufficient motivation to overcome these obstacles. The low household income may also create anxiety around documentation requirements.",0,0,0,1,0
Claude Haiku,P07,4,"While the person's self-employment provides scheduling flexibility, multiple structural barriers significantly reduce willingness: the requirement for in-person registration with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is costly for a self-employed individual with childcare responsibilities; lack of a regular healthcare provider suggests lower healthcare engagement; and medium trust in authorities provides insufficient motivation to overcome these obstacles. The low household income may also create anxiety around documentation requirements.",0,0,0,1,0
Claude Haiku,P07,5,"While the person's self-employment provides scheduling flexibility, multiple structural barriers significantly reduce willingness: the requirement for in-person registration with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is costly for a self-employed individual with childcare responsibilities; lack of a regular healthcare provider suggests lower healthcare engagement; and medium trust in authorities provides insufficient motivation to overcome these obstacles. The low household income may also create anxiety around documentation requirements.",0,0,0,1,0
Claude Haiku,P08,1,"While the person's control over her schedule and medium trust in authorities provide some motivation, significant barriers substantially reduce willingness: the requirement for in-person registration with documentation gathering, lengthy travel to a distant clinic, 1-2 hour wait times, and the need to arrange childcare for a 3-year-old create substantial logistical friction. Her low household income may also increase anxiety about documentation requirements and opportunity costs of time away from self-employment.",0,0,0,1,0
Claude Haiku,P08,2,"While the person's control over her schedule and medium trust in authorities provide some motivation, significant barriers substantially reduce willingness: the requirement for in-person registration with documentation gathering, lengthy travel to a distant clinic, 1-2 hour wait times, and the need to arrange childcare for a 3-year-old create substantial logistical friction. Her low household income may also increase anxiety about documentation requirements and opportunity costs of time away from self-employment.",0,0,0,1,0
Claude Haiku,P08,3,"While the person's control over her schedule and medium trust in authorities provide some motivation, significant barriers substantially reduce willingness: the requirement for in-person registration with documentation gathering, lengthy travel to a distant clinic, 1-2 hour wait times, and the need to arrange childcare for a 3-year-old create substantial logistical friction. Her low household income may also increase anxiety about documentation requirements and opportunity costs of time away from self-employment.",0,0,0,1,0
Claude Haiku,P08,4,"While the person's control over her schedule and medium trust in authorities provide some motivation, significant barriers substantially reduce willingness: the requirement for in-person registration with documentation gathering, lengthy travel to a distant clinic, 1-2 hour wait times, and the need to arrange childcare for a 3-year-old create substantial logistical friction. Her low household income may also increase anxiety about documentation requirements and opportunity costs of time away from self-employment.",0,0,0,1,0
Claude Haiku,P08,5,"While the person's control over her schedule and medium trust in authorities provide some motivation, significant barriers substantially reduce willingness: the requirement for in-person registration with documentation gathering, lengthy travel to a distant clinic, 1-2 hour wait times, and the need to arrange childcare for a 3-year-old create substantial logistical friction. Her low household income may also increase anxiety about documentation requirements and opportunity costs of time away from self-employment.",0,0,0,1,0
Claude Haiku,P09,1,"While this person has facilitating factors (flexible schedule, accessible doctor, medium trust in authorities), the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging for a low-income self-employed parent managing childcare. The documentation requirements may also create anxiety for someone with limited income.",0,0,0,1,0
Claude Haiku,P09,2,"While this person has facilitating factors (flexible schedule, accessible doctor, medium trust in authorities), the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging for a low-income self-employed parent managing childcare. The documentation requirements may also create anxiety for someone with limited income.",0,0,0,1,0
Claude Haiku,P09,3,"While this person has facilitating factors (flexible schedule, accessible doctor, medium trust in authorities), the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging for a low-income self-employed parent managing childcare. The documentation requirements may also create anxiety for someone with limited income.",0,0,0,1,0
Claude Haiku,P09,4,"While this person has facilitating factors (flexible schedule, accessible doctor, medium trust in authorities), the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging for a low-income self-employed parent managing childcare. The documentation requirements may also create anxiety for someone with limited income.",0,0,0,1,0
Claude Haiku,P09,5,"While this person has facilitating factors (flexible schedule, accessible doctor, medium trust in authorities), the registration barriers significantly reduce willingness. The requirement for in-person registration with documentation, multiple forms, 1-2 hour wait times, and advance scheduling creates substantial friction—particularly challenging for a low-income self-employed parent managing childcare. The documentation requirements may also create anxiety for someone with limited income.",0,0,0,1,0
Claude Haiku,P10,1,"While this person has moderate trust in public health authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, 1-2 hour wait times, and advance scheduling creates substantial friction for someone with limited work flexibility, no established healthcare provider, and childcare responsibilities. These logistical obstacles are particularly challenging for individuals with lower income and education levels, who research shows face greater difficulty navigating complex administrative processes.",0,0,1,1,0
Claude Haiku,P10,2,"While this person has moderate trust in public health authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, 1-2 hour wait times, and advance scheduling creates substantial friction for someone with limited work flexibility, no established healthcare provider, and childcare responsibilities. These logistical obstacles are particularly challenging for individuals with lower income and education levels, who research shows face greater difficulty navigating complex administrative processes.",0,0,1,1,0
Claude Haiku,P10,3,"While this person has moderate trust in public health authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, 1-2 hour wait times, and advance scheduling creates substantial friction for someone with limited work flexibility, no established healthcare provider, and childcare responsibilities. These logistical obstacles are particularly challenging for individuals with lower income and education levels, who research shows face greater difficulty navigating complex administrative processes.",0,0,1,1,0
Claude Haiku,P10,4,"While this person has moderate trust in public health authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, 1-2 hour wait times, and advance scheduling creates substantial friction for someone with limited work flexibility, no established healthcare provider, and childcare responsibilities. These logistical obstacles are particularly challenging for individuals with lower income and education levels, who research shows face greater difficulty navigating complex administrative processes.",0,0,1,1,0
Claude Haiku,P10,5,"While this person has moderate trust in public health authorities, significant structural barriers substantially reduce vaccination willingness. The requirement for in-person registration with extensive documentation, 1-2 hour wait times, and advance scheduling creates substantial friction for someone with limited work flexibility, no established healthcare provider, and childcare responsibilities. These logistical obstacles are particularly challenging for individuals with lower income and education levels, who research shows face greater difficulty navigating complex administrative processes.",0,0,1,1,0
Claude Haiku,P11,1,"Multiple structural barriers significantly reduce willingness: the inflexible work schedule makes taking time off difficult, the distant clinic location adds travel burden, and the 1-2 hour wait time is particularly challenging for a parent of a young child. While medium trust in authorities and having a regular doctor provide some positive factors, the administrative complexity (multiple forms, income/residency verification) combined with practical constraints creates substantial friction that likely deters vaccination uptake.",0,0,0,0,0
Claude Haiku,P11,2,"Multiple structural barriers significantly reduce willingness: the inflexible work schedule makes taking time off difficult, the distant clinic location adds travel burden, and the 1-2 hour wait time is particularly challenging for a parent of a young child. While medium trust in authorities and having a regular doctor provide some positive factors, the administrative complexity (multiple forms, income/residency verification) combined with practical constraints creates substantial friction that likely deters vaccination uptake.",0,0,0,0,0
Claude Haiku,P11,3,"Multiple structural barriers significantly reduce willingness: the inflexible work schedule makes taking time off difficult, the distant clinic location adds travel burden, and the 1-2 hour wait time is particularly challenging for a parent of a young child. While medium trust in authorities and having a regular doctor provide some positive factors, the administrative complexity (multiple forms, income/residency verification) combined with practical constraints creates substantial friction that likely deters vaccination uptake.",0,0,0,0,0
Claude Haiku,P11,4,"Multiple structural barriers significantly reduce willingness: the inflexible work schedule makes taking time off difficult, the distant clinic location adds travel burden, and the 1-2 hour wait time is particularly challenging for a parent of a young child. While medium trust in authorities and having a regular doctor provide some positive factors, the administrative complexity (multiple forms, income/residency verification) combined with practical constraints creates substantial friction that likely deters vaccination uptake.",0,0,0,0,0
Claude Haiku,P11,5,"Multiple structural barriers significantly reduce willingness: the inflexible work schedule makes taking time off difficult, the distant clinic location adds travel burden, and the 1-2 hour wait time is particularly challenging for a parent of a young child. While medium trust in authorities and having a regular doctor provide some positive factors, the administrative complexity (multiple forms, income/residency verification) combined with practical constraints creates substantial friction that likely deters vaccination uptake.",0,0,0,0,0
Claude Haiku,P12,1,"While this person has facilitating factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers significantly reduce willingness. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and inflexible advance scheduling creates substantial friction for someone with limited time off and childcare responsibilities. The combination of procedural complexity and time burden likely outweighs her moderate motivation to vaccinate.",0,0,0,1,0
Claude Haiku,P12,2,"While this person has facilitating factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers significantly reduce willingness. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and inflexible advance scheduling creates substantial friction for someone with limited time off and childcare responsibilities. The combination of procedural complexity and time burden likely outweighs her moderate motivation to vaccinate.",0,0,0,1,0
Claude Haiku,P12,3,"While this person has facilitating factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers significantly reduce willingness. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and inflexible advance scheduling creates substantial friction for someone with limited time off and childcare responsibilities. The combination of procedural complexity and time burden likely outweighs her moderate motivation to vaccinate.",0,0,0,1,0
Claude Haiku,P12,4,"While this person has facilitating factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers significantly reduce willingness. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and inflexible advance scheduling creates substantial friction for someone with limited time off and childcare responsibilities. The combination of procedural complexity and time burden likely outweighs her moderate motivation to vaccinate.",0,0,0,1,0
Claude Haiku,P12,5,"While this person has facilitating factors (regular doctor access, medium trust in authorities, full-time employment suggesting health consciousness), the registration barriers significantly reduce willingness. The requirement for in-person registration with multiple documents, 1-2 hour wait times, and inflexible advance scheduling creates substantial friction for someone with limited time off and childcare responsibilities. The combination of procedural complexity and time burden likely outweighs her moderate motivation to vaccinate.",0,0,0,1,0
Claude Haiku,P13,1,"While this person has moderate trust in public health authorities and part-time flexible work that could accommodate scheduling, significant barriers reduce willingness: the in-person registration requirement with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is challenging for someone managing a 3-year-old child; lack of a regular healthcare provider suggests lower health system engagement; and the one-week advance scheduling requirement may conflict with her variable work schedule. These structural obstacles likely outweigh her moderate baseline willingness.",0,0,1,0,0
Claude Haiku,P13,2,"While this person has moderate trust in public health authorities and part-time flexible work that could accommodate scheduling, significant barriers reduce willingness: the in-person registration requirement with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is challenging for someone managing a 3-year-old child; lack of a regular healthcare provider suggests lower health system engagement; and the one-week advance scheduling requirement may conflict with her variable work schedule. These structural obstacles likely outweigh her moderate baseline willingness.",0,0,1,0,0
Claude Haiku,P13,3,"While this person has moderate trust in public health authorities and part-time flexible work that could accommodate scheduling, significant barriers reduce willingness: the in-person registration requirement with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is challenging for someone managing a 3-year-old child; lack of a regular healthcare provider suggests lower health system engagement; and the one-week advance scheduling requirement may conflict with her variable work schedule. These structural obstacles likely outweigh her moderate baseline willingness.",0,0,1,0,0
Claude Haiku,P13,4,"While this person has moderate trust in public health authorities and part-time flexible work that could accommodate scheduling, significant barriers reduce willingness: the in-person registration requirement with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is challenging for someone managing a 3-year-old child; lack of a regular healthcare provider suggests lower health system engagement; and the one-week advance scheduling requirement may conflict with her variable work schedule. These structural obstacles likely outweigh her moderate baseline willingness.",0,0,1,0,0
Claude Haiku,P13,5,"While this person has moderate trust in public health authorities and part-time flexible work that could accommodate scheduling, significant barriers reduce willingness: the in-person registration requirement with extensive documentation (income verification, proof of residency, multiple forms) creates administrative burden; the 1-2 hour waiting time is challenging for someone managing a 3-year-old child; lack of a regular healthcare provider suggests lower health system engagement; and the one-week advance scheduling requirement may conflict with her variable work schedule. These structural obstacles likely outweigh her moderate baseline willingness.",0,0,1,0,0
Claude Haiku,P14,1,"While this person has a regular doctor and medium trust in authorities, multiple barriers significantly reduce vaccination willingness: the distant clinic location, inflexible registration requirements (in-person, documentation, multiple forms), substantial time commitment (1-2 hours wait plus advance scheduling), and childcare coordination challenges with a 3-year-old. Part-time work with flexible hours provides some mitigation, but the cumulative friction of administrative and logistical obstacles substantially outweighs baseline health-seeking behavior.",0,0,0,1,0
Claude Haiku,P14,2,"While this person has a regular doctor and medium trust in authorities, multiple barriers significantly reduce vaccination willingness: the distant clinic location, inflexible registration requirements (in-person, documentation, multiple forms), substantial time commitment (1-2 hours wait plus advance scheduling), and childcare coordination challenges with a 3-year-old. Part-time work with flexible hours provides some mitigation, but the cumulative friction of administrative and logistical obstacles substantially outweighs baseline health-seeking behavior.",0,0,0,1,0
Claude Haiku,P14,3,"While this person has a regular doctor and medium trust in authorities, multiple barriers significantly reduce vaccination willingness: the distant clinic location, inflexible registration requirements (in-person, documentation, multiple forms), substantial time commitment (1-2 hours wait plus advance scheduling), and childcare coordination challenges with a 3-year-old. Part-time work with flexible hours provides some mitigation, but the cumulative friction of administrative and logistical obstacles substantially outweighs baseline health-seeking behavior.",0,0,0,1,0
Claude Haiku,P14,4,"While this person has a regular doctor and medium trust in authorities, multiple barriers significantly reduce vaccination willingness: the distant clinic location, inflexible registration requirements (in-person, documentation, multiple forms), substantial time commitment (1-2 hours wait plus advance scheduling), and childcare coordination challenges with a 3-year-old. Part-time work with flexible hours provides some mitigation, but the cumulative friction of administrative and logistical obstacles substantially outweighs baseline health-seeking behavior.",0,0,0,1,0
Claude Haiku,P14,5,"While this person has a regular doctor and medium trust in authorities, multiple barriers significantly reduce vaccination willingness: the distant clinic location, inflexible registration requirements (in-person, documentation, multiple forms), substantial time commitment (1-2 hours wait plus advance scheduling), and childcare coordination challenges with a 3-year-old. Part-time work with flexible hours provides some mitigation, but the cumulative friction of administrative and logistical obstacles substantially outweighs baseline health-seeking behavior.",0,0,0,1,0
Claude Haiku,P15,1,"While her accessible healthcare and flexible work schedule are facilitating factors, the substantial administrative burden—multiple forms, required documentation, 1-2 hour wait time, and advance scheduling—creates meaningful friction that may deter vaccination, particularly given her medium trust in public health authorities and the competing demands of single-parent childcare. The income verification requirement may also feel intrusive or create anxiety despite her stable employment.",0,0,1,1,0
Claude Haiku,P15,2,"While her accessible healthcare and flexible work schedule are facilitating factors, the substantial administrative burden—multiple forms, required documentation, 1-2 hour wait time, and advance scheduling—creates meaningful friction that may deter vaccination, particularly given her medium trust in public health authorities and the competing demands of single-parent childcare. The income verification requirement may also feel intrusive or create anxiety despite her stable employment.",0,0,1,1,0
Claude Haiku,P15,3,"While her accessible healthcare and flexible work schedule are facilitating factors, the substantial administrative burden—multiple forms, required documentation, 1-2 hour wait time, and advance scheduling—creates meaningful friction that may deter vaccination, particularly given her medium trust in public health authorities and the competing demands of single-parent childcare. The income verification requirement may also feel intrusive or create anxiety despite her stable employment.",0,0,1,1,0
Claude Haiku,P15,4,"While her accessible healthcare and flexible work schedule are facilitating factors, the substantial administrative burden—multiple forms, required documentation, 1-2 hour wait time, and advance scheduling—creates meaningful friction that may deter vaccination, particularly given her medium trust in public health authorities and the competing demands of single-parent childcare. The income verification requirement may also feel intrusive or create anxiety despite her stable employment.",0,0,1,1,0
Claude Haiku,P15,5,"While her accessible healthcare and flexible work schedule are facilitating factors, the substantial administrative burden—multiple forms, required documentation, 1-2 hour wait time, and advance scheduling—creates meaningful friction that may deter vaccination, particularly given her medium trust in public health authorities and the competing demands of single-parent childcare. The income verification requirement may also feel intrusive or create anxiety despite her stable employment.",0,0,1,1,0
